(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(24) 2 CFR 200.207;
(25) 2 CFR 200.208;
(26) 2 CFR 200.209;
(27) 2 CFR 200.210;",
,GrantAwardScopeText,"A description of the scope, boundaries of the effort, of what the grant award project and activities include as it relates to the overall grant program.","(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(24) 2 CFR 200.207;
(25) 2 CFR 200.208;
(26) 2 CFR 200.209;
(27) 2 CFR 200.210;",
,GrantAwardPerformanceMeasureTargetYearText,A year the performance measure target is expected to be accomplished. (compiled from 202),"(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(172) SF-428 Tangible Property Report;
(202) PERFORMANCE PROGRESS REPORT OMB Approval Number:  Performance Measures SF-PPR-A;",
,GrantAwardPerformanceMeasureTargetText,"A text description of the target performance measure against which actual project/award progress and award activities can be measured. This can be quantitative or qualitative. It could also describe a condition, a result, or a status. (compiled from 202)","(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(172) SF-428 Tangible Property Report;
(202) PERFORMANCE PROGRESS REPORT OMB Approval Number:  Performance Measures SF-PPR-A;
(225) RPPR;",
,GRMNotificationTypeCode,"A code denoting the type or reason for notification involving and award applicant, award recipient or Federal agency.","(14) 2 CFR 182.225;
(29) 2 CFR 200.212;
(39) 2 CFR 200.308;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(62) 2 CFR 200.338;
(65) 2 CFR 200.340;
(65) 2 CFR 200.340;
(66) 2 CFR 200.341;
(68) 2 CFR 200.343;
(70) 2 CFR 200.345;
(96) 2 CFR 200.501;
(99) 2 CFR 200.512;
(100) 2 CFR 200.513;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(104) 2 CFR 200.521;
(134) 2 CFR Appendix I to Part 200;
(162) Generally Accepted Government Auditing Standards (GAGAS);
(200) FAPIIS Terms and Definitions - Records;
(238) 2 CFR 200.507;
(255) 2 CFR 200.503;
(256) 2 CFR 200.518;
(257) 2 CHR 200.502;","Additional Audit to be Conducted;
Application Noncompliance;
Approval of Request for Program Specific Audit;
Audit Deficiencies Requiring Corrective Actions by Auditor;
Audit Direct Reporting;
Audit Failed Corrective Action;
Audit Finding(s) Assigned for Follow Up;
Audit Fraud Findings;
Audit Inadequacies;
Audit Possible Fraud and Abuse;
Audit verifying cross-cutting audit finding(s) and corrective action plan and/or noting agency recommendations;
Confirmation of Single Audit Package Information Receipt;
Confirmation to Audit Federal Program as Major Program with Federal Awarding Agency to Pay Cost;
Corrective Action Plan Recommendations;
Cross-Cutting Audit Findings to Single Audit Liaison;
Disapproval of Request for Program Specific Audit;
Grant Application Award Selection;
Grant Award Closeout;
Grant Award Final Report Received;
Grant Award Improvement Plan Required;
Grant Award Overpayment Action;
Grant Award Termination;
Grant Payment Suspension;
Grant Recipient Compliance Issues or Concerns Requiring Follow Up;
Grant Recipient Criminal Drug Conviction;
Grant Recipient Financial Report Issues or Concerns;
Grant Recipient Non-Compliance Remedies;
Grant Recipient Not Qualified;
Grant Recipient Possible Fraud and Abuse;
Grant Recipient Site Visit;
Grant Recipient Suspension or Debarment;
Issues Concerning Single Audit Package Information Completeness and Policy Compliance;
Management Decision Letter (MDL) appeal decision;
Past Due Single Audit;
Proposed Course of Action for Reported Grant Recipient Fraud, Waste, or Abuse;
Proposed action/recommendations for reported grant recipient fraud, waste, or abuse;
Provide agency input to the management decision letter (MDL) for cross-cutting audit finding(s);
Reassign Audit Finding for Follow Up;
Receipt of Corrective Action(s) Status Information;
Reported grant recipient fraud, waste, or abuse;
Type A Program Risk Changed from Low to High;"
,GRMNotificationText,"A notification's content detailing the information to be communicated between the award applicant or award recipient and Federal agency,  interagency, intra-agency or public.","(14) 2 CFR 182.225;
(29) 2 CFR 200.212;
(39) 2 CFR 200.308;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(62) 2 CFR 200.338;
(65) 2 CFR 200.340;
(65) 2 CFR 200.340;
(66) 2 CFR 200.341;
(68) 2 CFR 200.343;
(70) 2 CFR 200.345;
(96) 2 CFR 200.501;
(99) 2 CFR 200.512;
(100) 2 CFR 200.513;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(104) 2 CFR 200.521;
(134) 2 CFR Appendix I to Part 200;
(162) Generally Accepted Government Auditing Standards (GAGAS);
(200) FAPIIS Terms and Definitions - Records;
(238) 2 CFR 200.507;
(255) 2 CFR 200.503;
(256) 2 CFR 200.518;
(257) 2 CHR 200.502;",
,GrantApplicationReviewerConflictName,A collection of names of individuals indicated by an applicant as having a conflict and deemed inappropriate for them to review their application for an award. (compiled from 134),(134) 2 CFR Appendix I to Part 200;,
,GRMLegalEntitySuspensionOrDebarmentReasonTypeCode,A code denoting the conditions or reasons behind a suspension or debarment decision concerning a non-Federal legal entity. (compiled from 247),"(7) 2 CFR 180.155;
(22) 2 CFR 200.205;
(143) 2 CFR Part 180;
(247) 2 CFR 180.625;",(189) Exclusion Type list;
,GRMLegalEntitySuspensionOrDebarmentScopeText,"A description of the extent of a suspension or debarment concerning a non-Federal legal entity, such as whether all of the divisions and other organizational elements are included, or the suspension or debarment decision is limited, and whether any affiliates are included. (compiled from 247)","(7) 2 CFR 180.155;
(22) 2 CFR 200.205;
(143) 2 CFR Part 180;
(247) 2 CFR 180.625;",
,GRMLegalEntityRecommendedForAwardText,A list of recommended award applicants selected after review of received applications for an award and put forth for final decision on receipt of an award.,(134) 2 CFR Appendix I to Part 200;,
,GrantAwardProjectPlanRecommendationsText,A description of recommendations for the updated project plan associated with a grant application including additional funding and approvals. ,,
030 Grant Award Management,,,,
,GrantAwardPreAwardCostDetailsText,"A description of information regarding the costs requested or incurred, prior to award, as pre-award costs.","(188) 2 CFR 200.458;
(190) CDER;
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);",
,GrantAwardAdvancePaymentScheduleText,"A schedule of award advance payments, including a schedule of interest charged on advance payments.","(31) 2 CFR 200.3;
(36) 2 CFR 200.305;
(258) Cash Management Improvement Act of 1990;",
,GrantAwardRiskConditionText,"A description of additional specific award conditions imposed by the Federal agency or pass-through entity based on applicant risk. (24, augmented)","(22) 2 CFR 200.205;
(24) 2 CFR 200.207;",
,GrantAwardRiskConditionReasonText,"A reason why the additional requirements are being imposed by the Federal agency or pass-through entity. (24, augmented)","(22) 2 CFR 200.205;
(24) 2 CFR 200.207;",
,GrantAwardRiskConditionActionDuration,"A time allowed for completing the award action(s) imposed by the Federal agency or pass-through entity as specific conditions. (24, augmented)","(22) 2 CFR 200.205;
(24) 2 CFR 200.207;",
,GrantAwardRiskConditionReconsiderationMethodText,"A method the applicant or non-Federal legal entity must use for requesting reconsideration of the additional requirements imposed by the Federal agency or pass-through entity. (24, augmented)","(22) 2 CFR 200.205;
(24) 2 CFR 200.207;",
,GrantAwardRiskConditionRemovalRequirementText,"A description of the action to be taken by the applicant or non-Federal legal entity to remove the additional requirement imposed by the Federal agency or pass-through entity. (24, augmented)","(22) 2 CFR 200.205;
(24) 2 CFR 200.207;",
,BankName,The name of the financial institution. (253),"(36) 2 CFR 200.305;
(182) SF-270 (Rev. 7-97);
(183) SF-271 (Rev. 7-97);
(190) CDER;
(253) U.S. Department of the Treasury Fiscal Service Data Registry;",
,BankBranchIdentifier,The identifier for a financial institution branch. (253),"(36) 2 CFR 200.305;
(253) U.S. Department of the Treasury Fiscal Service Data Registry;",
,NonDomesticBankIndicator,The identifier denoting whether the Fiscal Service considers an entity to be non-domestic. (253),"(36) 2 CFR 200.305;
(182) SF-270 (Rev. 7-97);
(183) SF-271 (Rev. 7-97);
(190) CDER;
(253) U.S. Department of the Treasury Fiscal Service Data Registry;",
,BankAccountTypeCode,"The code that identifies the type of account associated with the transaction, such as checking or savings. (253)","(36) 2 CFR 200.305;
(253) U.S. Department of the Treasury Fiscal Service Data Registry;",
,BankAccountNumber,The account number for the financial institution involved in the transaction. (253),"(36) 2 CFR 200.305;
(182) SF-270 (Rev. 7-97);
(183) SF-271 (Rev. 7-97);
(190) CDER;
(253) U.S. Department of the Treasury Fiscal Service Data Registry;",
,RoutingNumber,The unique identifier or number associated with a transaction sometimes referred to as an RTN. (253),"(36) 2 CFR 200.305;
(182) SF-270 (Rev. 7-97);
(183) SF-271 (Rev. 7-97);
(190) CDER;
(253) U.S. Department of the Treasury Fiscal Service Data Registry;",
,GrantAwardInsuranceProvisionText,A description of the insurance coverage required when the grant recipient has a lack of adequate coverage. (compiled from 35),"(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(24) 2 CFR 200.207;
(25) 2 CFR 200.208;
(26) 2 CFR 200.209;
(27) 2 CFR 200.210;
(35) 2 CFR 200.304;
(40) 2 CFR 200.310;",
,GrantAwardBondProvisionText,A description of the fidelity bonding requirement when the grant recipient has a lack of adequate coverage. (compiled from 35),"(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(24) 2 CFR 200.207;
(25) 2 CFR 200.208;
(26) 2 CFR 200.209;
(27) 2 CFR 200.210;
(35) 2 CFR 200.304;
(40) 2 CFR 200.310;",
,GRMLegalEntityBondInformationText,A description of the award recipients' required bond information.,"(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(24) 2 CFR 200.207;
(25) 2 CFR 200.208;
(26) 2 CFR 200.209;
(27) 2 CFR 200.210;
(35) 2 CFR 200.304;",
,GRMLegalEntityBondInformationStatusCode,A code denoting whether the award recipient's bond information is submitted or verified.,"(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(24) 2 CFR 200.207;
(25) 2 CFR 200.208;
(26) 2 CFR 200.209;
(27) 2 CFR 200.210;
(35) 2 CFR 200.305;","Submitted;
Verified;"
,GrantAwardRealPropertyInsuranceInformationText,A description of the insurance information for real property and equipment property acquired or improved with Federal funds as provided to property owned by the non-Federal legal entity.,"(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(24) 2 CFR 200.207;
(25) 2 CFR 200.208;
(26) 2 CFR 200.209;
(27) 2 CFR 200.210;
(35) 2 CFR 200.306;",
,GRMLegalEntityInsuranceInformationStatusCode,A code denoting whether the award recipient's insurance information is submitted or verified.,"(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(24) 2 CFR 200.207;
(25) 2 CFR 200.208;
(26) 2 CFR 200.209;
(27) 2 CFR 200.210;
(35) 2 CFR 200.307;","Submitted;
Verified;"
,GrantAwardBudgetStatusCode,A code denoting the current state of the grant award project budget indicating whether it is proposed or approved status.,"(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(24) 2 CFR 200.207;
(25) 2 CFR 200.308;
(25) 2 CFR 200.208;
(26) 2 CFR 200.209;
(27) 2 CFR 200.210;","Approved;
Proposed;"
,FundingSubTierAgencyCode,A code denoting the level 2 Federal agency that provided the preponderance of the funds obligated by this transaction. (187 augmented),"(27) 2 CFR 200.210;
(187) DAIMS D2 V2;
(198) USASpending.gov Data Dictionary",
,,,,
,BusinessFundsIndicator,The Business Funds Indicator sometimes abbreviated BFI. Code indicating the award's applicability to the Recovery Act. (187),"(27) 2 CFR 200.210;
(187) DAIMS D2 V2",
,GrantAwardID,An unique ID within the Federal agency for each (non-aggregate) Federal financial assistance award (FAIN). (187)  ,"(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(14) 2 CFR 185.225;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(24) 2 CFR 200.207;
(25) 2 CFR 200.208;
(26) 2 CFR 200.209;
(27) 2 CFR 200.210;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(57) 2 CFR 200.329;
(134) 2 CFR Appendix I to Part 200;
(180) SF-429-C Disposition of Encumbrance Request;
(187) DAIMS D2 V2;
(198) USASpending.gov Data Dictionary;
(199) SF-424;
(221) SF-SAC;
(222) FAC Data Dictionary;
(259) 2 CFR 200, Appendix X;",
,UniqueRecordIdentifierID,A Federal agency defined identifier that (when provided) is unique for every reported action. (187),"(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(24) 2 CFR 200.207;
(25) 2 CFR 200.208;
(26) 2 CFR 200.209;
(27) 2 CFR 200.210;
(187) DAIMS D2 V2;",
,GrantAwardAgreementStatusCode,"A code denoting the status of award agreement (e.g., issued, signed, executed).",(91) 2 CFR 200.45;,"executed;
issued;
signed;"
,GrantAwardDescriptionText,A description of the project that has been awarded under the grant program.,"(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(24) 2 CFR 200.207;
(25) 2 CFR 200.208;
(26) 2 CFR 200.209;
(27) 2 CFR 200.210;",
,GrantAwardReportingFrequencyTypeCode,"A code denoting the appropriate reporting term corresponding to the requirements contained in the award document. “Other” may be used when more frequent reporting is required for high-risk grantees. (201, augmented)","(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(24) 2 CFR 200.207;
(25) 2 CFR 200.208;
(26) 2 CFR 200.209;
(27) 2 CFR 200.210;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(184) SF-425 - Revised 10/11/2011;
(190) CDER;
(201) PERFORMANCE PROGRESS REPORT SF-PPR;
(225) RPPR;","Annual;
Final;
Other (describe);
Quarterly;
Semi-annual;"
,AgencyPersonAuthorizedSignatureName,A name of the official that is authorized to obligate the Federal agency.,"(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(24) 2 CFR 200.207;
(26) 2 CFR 200.209;
(27) 2 CFR 200.210;
(99) 2 CFR 200.512;",
,AgencyPersonAuthorizedSignatureTypeCode,A code denoting the role or authority of the Federal agency official signatory.,"(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(24) 2 CFR 200.207;
(25) 2 CFR 200.208;
(27) 2 CFR 200.210;
(99) 2 CFR 200.512;","Approval for Management Decision Letter (MDL);
Approval of grant award modification;
Approval of grant award;"
,GrantAwardPaymentTypeCode,"A code denoting the type of payment requested by the non-Federal legal entity, such as payment in advance or reimbursement.",(36) 2 CFR 200.305;,"Final Advance;
Final Reimbursement;
Partial Advance;
Partial Reimbursement;"
,GrantAwardPaymentMethodTypeCode,A code denoting the mechanism by which Federal agency pays non-Federal legal entity for advances and reimbursements.,(36) 2 CFR 200.305;,"Electronic Funds Transfer;
Other;
Treasury Check;"
,GrantAwardFundsAcceptedText,A description of the verification that indicates an award recipient's acceptance of payment.,,
,GrantAwardEstimatedAccrualAmount,A dollar amount of the adjustments needed to account for eligible expenses that grantees have incurred as of the reporting date but have not yet reported to the Federal agency. Grant accrual estimates are based upon the best available data at the time the estimates are made. (compiled from 159),"(55) 2 CFR 200.327;
(94) 2 CFR 200.49;
(95) 2 CFR 200.50;
(159) Federal Financial Accounting Technical Release 12, Accrual Estimates for Grant Programs;
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);",
040 Grant Post-Award Management and Closeout,,,,
,GrantAwardTerminationConditionsText,"A description of the conditions in which a grant award is terminated, and, in the case of partial termination, the portion to be terminated. (63, augmented)","(24) 2 CFR 200.207;
(63) 2 CFR 200.339;
(68) 2 CFR 200.343;
(69) 2 CFR 200.344;
(70) 2 CFR 200.345;",
,GrantAwardPartialTerminationAmount,An amount of the portion of the award to be terminated when a partial termination is implemented. (compiled from 63),"(24) 2 CFR 200.207;
(63) 2 CFR 200.339;
(68) 2 CFR 200.343;
(69) 2 CFR 200.344;
(70) 2 CFR 200.345;",
,GrantAwardModificationAmendmentID,An unique identifier of an modification action being reported that indicates a specific subsequent change to the initial award. (187),"(39) 2 CFR 200.308;
(63) 2 CFR 200.339;
(73) 2 CFR 200.407;
(187) DAIMS V2 D2;",
,GrantAwardTrainingText,"A description of opportunities provided for training and professional development to anyone who worked on the award for this reporting period. “Training” activities are those in which individuals with advanced professional skills and experience assist others in attaining greater proficiency. (225, augmented) ","(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(225) RPPR;",
,GrantAwardImpactStatementText,"A description of ways in which the work, findings, and specific products of the award have had an impact during this reporting period. Description can include distinctive contributions, major accomplishments, innovations, successes, or any change in practice or behavior that has come about as a result of the award. This includes impact on development on principal disciplines, other disciplines, human resources, educational experiences, etc. (225, augmented)","(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(225) RPPR;",
,GrantAwardResultsDisseminatedText,"A description of how the results of the award were disseminated to communities of interest for this reporting period. Include any outreach activities that were undertaken to reach members of communities who are not usually aware of these activities, for the purpose of enhancing public understanding and increasing interest in learning and careers in science, technology, and the humanities. (225, augmented)","(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(225) RPPR;",
,GrantAwardParticipantInternationalCollaborationTravelIndicator,An indication of whether the participant traveled to a foreign country as part of a collaboration on an award. (225),"(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(225) RPPR;",
,GrantAwardParticipantInternationalCollaborationTravelDurationText,"A text value denoting duration of the participant's stay in a foreign country as part of a collaboration on an award. (225, augmented)","(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(225) RPPR;",
,GrantAwardParticipantInternationalCollaborationTravelLocationText,"A text description of the destination of the participant's travel to a foreign country as part of a collaboration on an award. (225, augmented)","(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(225) RPPR;",
,GRMLegalEntityPartnerOrganizationContributionTypeCode,"A code denoting the type of contributions provided by the partner organization of the non-Federal legal entity, including financial or in-kind support, facilities or equipment, collaboration, exchanged personnel, or other contribution.","(20) 2 CFR 200.203;
(23) 2 CFR 200.206;
(25) 2 CFR 200.208;
(27) 2 CFR 200.210;
(28) 2 CFR 200.211;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(98) 2 CFR 200.511;
(99) 2 CFR 200.512;
(100) 2 CFR 200.513;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(134) 2 CFR Appendix I to Part 200;
(160) Federal Funding Accountability and Transparency Act of 2006 or Transparency Act—Public Law 109-282, as amended by section 6202(a) of Public Law 110-252 (31 U.S.C. 6101);
(225) RPPR;","Collaboration (e.g., partner’s staff work with project staff on the project);
Facilities (e.g., project staff use the partner’s facilities for project activities);
